,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
192911, -15.77, -13.55, -13.79,  -9.13,  -8.28,  -8.12,  -8.25, -10.79, -12.62, -16.38
192912,  -3.14,  -8.29,  -0.05,   2.51,   0.97,   0.95,  -5.15,   1.99,   2.12,   4.68
193001,  14.04,   7.94,   4.97,   6.90,   6.20,   7.99,   4.90,   3.32,   7.71,   3.84
193002,   2.30,   0.58,   3.11,   1.15,   4.13,   1.33,   1.42,   3.00,   2.05,   3.40
193003,  13.27,   3.07,  11.89,  11.18,   7.42,   5.73,   5.51,   6.71,   5.94,   8.47
193004,  -1.77,   6.36, -10.22, -10.00,  -4.62,   1.46,  -3.35,  -3.58,  -0.84,  -1.38
193005,  -0.43,  -8.07,   4.72,   0.02,   1.12,  -2.70,  -4.18,  -1.21,  -0.97,  -1.03
193006, -26.35, -24.63, -16.80, -20.34, -21.54, -16.49, -13.80, -10.96, -13.55, -16.36
193007,   4.80,   6.06,   5.38,   5.31,   9.13,   5.28,   4.94,   3.21,   1.38,   6.27
193008,  -5.52,   0.42,  -3.41,  -4.18,   1.02,   1.37,   2.22,   0.64,   0.16,   1.16
193009, -21.64, -23.11, -22.95, -15.85, -14.46, -12.10, -13.40,  -8.64,  -9.85, -12.46
193010, -18.12, -14.34, -16.34, -15.24, -11.15, -10.07,  -6.97,  -6.00,  -9.11,  -7.22
193011,   1.43,   4.56,  -3.99,  -1.11,  -3.62,  -2.96,  -3.54,  -0.88,  -3.40,  -1.74
193012, -27.28, -13.61, -17.99, -13.73, -10.87, -10.46,  -8.82,  -4.00,  -5.14,  -2.87
193101,  22.97,  17.33,   9.52,  10.36,  11.92,   3.70,   4.40,   4.49,   5.90,   5.62
193102,  24.51,  35.06,  17.31,  20.20,  18.83,  12.93,  12.49,   8.45,   7.79,   6.57
193103, -15.66, -14.95, -10.41, -11.00, -11.58,  -5.07,  -9.12,  -4.83,  -4.62,  -1.72
193104, -26.01, -16.76, -18.90, -19.12, -15.79, -11.87, -10.49,  -9.50,  -6.06,  -4.29
193105, -19.40, -19.55, -19.37, -14.32, -15.44, -15.03, -12.78, -13.51, -11.38,  -9.89
193106,  37.26,  36.02,  21.07,  23.35,  20.13,  15.27,  17.35,  11.62,  11.03,   8.21
193107, -14.86, -12.50, -10.87, -11.78,  -9.26,  -9.43,  -6.70,  -5.24,  -4.57,  -1.55
193108,   8.69,  -0.90,   5.87,   0.02,   2.57,   0.37,  -5.23,  -0.92,   1.00,  -0.54
193109, -40.70, -38.78, -35.39, -28.03, -31.54, -29.20, -34.71, -27.19, -27.17, -23.16
193110,   1.51,   7.97,   4.58,   3.56,   7.33,   8.10,  11.29,   6.27,   9.90,  11.40
193111, -15.79, -18.86, -14.65,  -9.92, -15.16, -11.69,  -8.81,  -6.02,  -7.47,  -3.08
193112, -30.57, -24.24, -21.81, -22.70, -19.84, -14.91, -12.97,  -9.99, -11.62,  -5.82
193201,  17.19,  10.01,   2.73,   1.44,   0.79,  -3.05,  -4.35,  -3.34,  -0.08,  -0.76
193202,  -2.50,   6.17,   6.65,  -0.15,   7.18,   4.35,   5.82,   8.12,   5.74,   1.69
193203, -20.42, -22.90, -17.43, -15.07, -14.08, -12.22, -14.32,  -9.34,  -7.28,  -4.73
193204, -25.51, -20.84, -23.31, -21.84, -17.68, -22.83, -23.91, -19.04, -13.71, -10.99
193205, -36.10, -39.26, -33.13, -21.73, -25.95, -24.89, -16.45, -17.93, -18.26, -13.46
193206,   5.90,   2.53,  -0.82,  -7.01,  -4.19,   2.26,  -0.93,  -3.50,   6.00,   1.06
193207,  74.55,  79.66,  61.97,  52.33,  44.32,  44.21,  32.15,  32.45,  22.09,  14.10
193208,  93.55,  76.16,  66.38,  49.68,  60.45,  44.46,  33.93,  25.44,  25.89,  16.87
193209,  -5.25,  -5.37,  -6.24,   1.53,  -6.46,  -1.26,  -2.29,  -2.48,  -4.97,  -3.89
193210, -23.30, -16.97, -22.02, -12.67,  -9.77, -11.02, -13.68,  -9.26, -14.51,  -3.07
193211, -13.34,  -7.72,  -9.28,  -6.99,  -2.51,  -2.59,  -4.10,  -7.74,  -5.84, -20.92
193212,  -7.30,   2.64,   4.49,   3.60,   2.31,   5.69,   4.66,   5.37,   7.23,   2.49
193301,  -1.92,   2.28,   2.12,   5.30,   2.21,  -0.10,   0.92,  -0.97,   5.08,  -3.31
193302, -24.52, -19.83, -19.64, -20.42, -15.66, -14.31, -16.44, -11.15, -16.37, -16.03
193303,  -5.05,   9.54,   6.69,   9.04,   6.24,   2.49,  -2.91,   2.39,   7.09,   8.51
193304,  70.80,  53.79,  51.49,  61.99,  40.50,  48.38,  35.89,  27.60,  33.92,  26.71
193305,  46.30,  32.83,  17.04,  20.04,  17.20,  28.23,  21.46,  21.44,  21.29,  19.27
193306,  24.22,   9.92,   8.20,  13.46,  11.92,   9.49,  12.26,  17.29,  18.46,  17.04
193307,  -7.32,  -8.21, -10.97,  -9.11, -11.44, -14.15, -11.14,  -5.86, -11.00, -13.02
193308,   5.79,   5.39,  11.96,  12.94,  15.44,  17.20,  19.16,  18.39,  22.54,  17.49
193309, -21.65, -12.12,  -9.23,  -8.32,  -8.99,  -5.71, -12.26, -11.65, -12.16,  -7.13
193310,  -8.73,  -7.55,  -7.28, -10.47,  -8.96,  -7.90,  -7.35, -10.24,  -8.86,  -8.10
193311,  -1.35,   2.35,  11.62,  13.32,   8.34,   9.32,  10.10,  21.56,   9.37,   6.49
193312,   0.74,   2.85,  -1.94,   0.58,  -0.30,   0.78,   2.79,   7.81,   6.11,   1.86
193401,  22.24,  12.91,  12.32,   9.48,   8.80,  15.26,  13.86,  11.35,  11.82,  12.45
193402,  -1.96,   0.41,  -4.27,  -1.13,  -3.32,  -2.40,  -3.85,  -3.03,  -5.25,  -0.13
193403,  -0.33,   0.07,   0.30,  -0.93,  -0.09,  -0.51,   3.68,  -0.13,   1.56,   1.04
193404,  -0.02,  -0.21,  -0.62,  -3.39,  -2.74,  -1.10,  -3.37,  -4.08,  -5.90,  -7.68
193405,  -5.83,  -6.45,  -5.73,  -5.26, -10.55,  -9.56,  -8.86,  -7.17, -11.61,  -8.65
193406,   1.74,   5.15,   2.63,   3.20,   1.61,   3.38,   2.56,   0.80,   2.82,   2.70
193407, -26.86, -16.65, -18.37, -14.54, -13.66,  -8.82,  -8.93,  -8.07,  -7.54,  -8.27
193408,   3.18,   2.05,  10.17,   6.38,   5.26,   5.02,   6.27,   4.86,   5.94,   8.39
193409,   1.48,  -0.24,   1.56,  -1.25,  -0.88,  -0.85,  -1.07,   1.36,   0.13,  -0.87
193410,  -6.51,  -5.28,  -4.90,  -3.46,  -2.90,  -1.07,  -0.66,  -2.87,   2.03,   3.40
193411,  12.91,  10.87,   4.12,  11.37,   7.77,   5.94,  10.61,   7.44,  10.28,  13.65
193412,  -0.33,  -3.74,  -2.18,   1.10,   1.27,  -0.01,  -1.03,   0.14,   2.83,   3.40
193501,  -6.86,  -6.04,  -7.69,  -4.79,  -4.13,  -0.70,  -2.68,  -1.68,  -1.10,  -0.61
193502, -21.80, -12.57,  -7.12,  -8.23,  -5.39,  -2.74,  -1.35,   1.76,   3.91,   3.19
193503,   1.00,  -4.05,  -9.78,  -5.90,  -0.24,  -6.22,  -2.72,  -3.00,  -4.66,  -1.47
193504,   9.21,  16.39,  11.20,  13.37,  10.41,   9.27,   8.93,   7.78,   7.95,   6.70
193505,   4.92,  10.81,   4.12,   2.78,   7.60,   4.76,   2.90,   4.12,   2.64,   1.19
193506,  -1.41,   8.93,   9.48,   7.84,   8.76,   5.73,   4.45,   5.07,   6.74,   6.57
193507,  11.73,  14.23,  13.29,  12.60,   6.45,   8.18,   7.33,   7.17,   5.31,   6.53
193508,  21.31,  21.79,   2.11,  -0.07,  -0.32,   3.36,   4.02,   2.67,   1.17,   3.50
193509, -13.81,   1.01,  -3.77,   0.20,  -1.08,   3.25,   4.05,   2.76,   4.78,   8.72
193510,   7.85,   8.67,   3.57,   9.50,   5.18,   3.92,   6.69,   8.55,   8.58,  12.12
193511,  20.30,   6.34,   6.96,   5.09,   3.64,   2.44,   6.00,   3.50,   6.12,   3.01
193512,  -0.37,   6.29,   4.19,   3.85,   6.94,   2.52,   1.85,   2.99,   6.07,   7.99
193601,  11.58,   8.99,   6.20,   8.91,   5.64,   7.72,   5.88,   5.56,   5.93,  12.68
193602,   2.24,   0.32,   1.78,   1.76,   3.90,   2.71,   3.42,   3.56,   2.02,   1.19
193603,  -1.47,  -0.55,   0.42,   0.64,   0.77,  -1.42,   5.13,  -1.17,   1.07,   5.28
193604,  -2.82,  -4.97,  -7.80,  -7.49,  -6.57, -10.01, -12.36, -10.84, -12.01, -13.61
193605,   4.74,   4.07,   3.93,   4.83,   6.87,   3.36,   7.44,   4.74,   9.34,   8.55
193606,   3.13,   2.12,   1.56,   1.53,   2.54,   3.22,   1.84,   4.16,   3.90,  -0.97
193607,   0.97,   2.95,   4.36,   7.05,   8.97,   8.52,  11.73,   5.29,  12.29,   9.68
193608,   1.13,   0.46,  -0.12,   1.89,   3.48,  -0.64,  -1.02,  -0.25,   2.13,  -0.02
193609,   1.00,  -0.60,   2.61,  -0.33,  -0.26,   2.66,   1.11,   0.61,   4.19,   1.51
193610,   7.63,   3.67,   5.16,   6.53,   5.91,   8.19,   9.47,   7.04,  10.66,   7.48
193611,   1.88,   5.45,   2.68,   3.65,   3.44,   2.34,   1.22,   6.18,   2.25,   2.94
193612,  -1.14,  -1.24,  -0.27,   0.67,  -1.06,  -0.89,  -0.01,   0.29,   3.57,   4.00
193701,   1.74,   4.53,   4.35,   2.15,   2.21,   5.01,   2.83,   5.16,   1.61,   4.55
193702,  -0.84,   0.90,  -0.11,   0.13,  -0.25,  -0.57,   1.43,   3.13,   6.16,   3.22
193703,  -2.00,  -1.76,  -1.06,  -1.65,  -1.62,  -1.51,   2.03,   5.01,  -0.19,   3.47
193704, -10.76,  -7.15,  -5.76,  -6.29,  -5.53,  -6.06,  -4.88,  -8.13, -13.87, -14.74
193705,  -2.21,  -1.20,   0.68,   0.05,   0.16,  -1.59,  -2.68,  -0.72,   0.37,  -1.93
193706,  -5.08,  -3.90,  -4.09,  -4.36,  -4.23,  -4.83,  -4.68,  -2.16,  -4.48,  -7.01
193707,  13.20,  11.17,   6.98,   6.48,   8.04,   8.24,   9.54,   9.18,  11.62,   9.79
193708,  -8.47,  -3.18,  -5.28,  -3.17,  -4.71,  -4.71,  -2.96,  -5.65,  -6.81,  -7.38
193709, -17.05,  -9.85, -11.29,  -7.12, -11.48, -14.33, -15.67, -18.74, -19.05, -20.71
193710,  -6.58, -10.14,  -7.15,  -9.51,  -8.73,  -8.80,  -8.43,  -9.83, -11.84, -12.38
193711,  -2.54,  -8.68,  -3.32,  -9.72,  -7.95,  -9.54,  -9.16,  -4.82, -10.19, -11.03
193712, -16.55,  -6.05,  -8.01, -11.88,  -9.51,  -3.18,  -3.20,  -2.82,  -2.11,  -0.57
193801,   7.21,   4.53,  -0.22,   0.00,  -0.98,   4.00,   2.06,   0.42,  -0.66,  -1.01
193802,   9.12,   9.65,   6.10,   9.74,   5.79,   7.48,   7.72,   8.33,   6.75,   1.79
193803, -42.26, -40.43, -34.04, -32.62, -31.83, -30.77, -25.77, -25.09, -22.83, -17.31
193804,  24.76,  24.54,  22.49,  17.53,  16.79,  19.14,  16.96,  14.75,  11.91,  13.88
193805,  -8.06,  -8.82, -11.33,  -8.30,  -8.30,  -7.79,  -5.55,  -6.28,  -3.15,   0.76
193806,  43.58,  43.39,  42.64,  40.78,  39.92,  35.51,  31.97,  27.83,  16.55,  10.47
193807,  22.73,   7.82,  15.93,  11.96,  11.06,   7.92,  12.96,   6.00,   4.00,   4.87
193808,  -7.83,  -5.29,  -4.86,  -8.16,  -3.41,  -5.03,   0.31,  -4.22,  -1.80,  -1.97
193809,  -4.20,  -0.26,  -2.31,  -0.40,  -0.75,   0.85,   1.78,   1.55,   1.35,   0.15
193810,  21.78,  15.07,  16.48,   9.62,   6.89,   6.53,   6.66,   6.48,   7.54,   6.86
193811, -10.87,  -4.76,  -3.83,  -3.60,  -2.56,  -1.83,  -0.85,  -1.92,  -0.62,  -1.42
193812,   0.94,   4.44,   5.97,   3.42,   4.26,   3.85,   4.49,   3.62,   2.89,   8.81
193901,  -4.34,  -6.36,  -3.41,  -5.44,  -6.69,  -8.03,  -6.44,  -5.41,  -7.71,  -9.21
193902,  -0.54,   0.32,   4.73,   3.39,   1.64,   2.61,   4.04,   5.31,   5.35,   4.75
193903, -16.80, -10.37, -15.50, -11.28, -15.88, -11.65,  -7.71,  -8.51, -15.76, -18.23
193904,   0.88,  -0.70,  -0.56,  -1.19,   1.09,  -1.31,  -1.29,   0.74,  -0.25,   2.19
193905,   4.30,   6.75,   4.16,   5.44,   4.97,   7.64,   7.29,   6.65,   8.48,   8.83
193906, -12.48,  -5.26,  -6.84,  -4.86,  -7.16,  -5.48,  -4.17,  -5.19,  -4.18,  -6.11
193907,  10.07,  16.79,  11.80,  10.24,   9.98,  11.34,   9.93,   7.39,  11.11,  13.36
193908, -15.29, -12.94, -11.70, -11.52,  -7.09,  -7.34,  -7.45,  -6.85,  -5.03,  -4.24
193909,  53.18,  43.19,  35.33,  25.20,  30.23,  21.29,  14.71,  10.16,   8.55,   7.92
193910,  -7.36,  -2.98,  -3.93,  -3.88,  -3.41,  -0.11,  -0.94,   0.71,   1.54,   4.91
193911,  -6.51,  -7.04,  -3.14,  -2.68,  -3.28,  -5.83,  -1.90,  -2.56,  -3.94,  -6.70
193912,  -0.69,   0.02,  -0.26,   2.20,   3.72,   3.17,   3.56,   3.61,   4.21,   7.18
194001,  -1.55,  -2.90,  -3.89,  -3.33,  -5.47,  -3.06,  -2.30,  -2.03,  -0.30,   0.12
194002,  -1.31,  -0.69,   0.74,   0.79,   0.59,   2.70,   1.48,   1.26,   2.10,   5.14
194003,   3.06,   0.79,   4.24,   1.12,   3.20,   1.77,   1.48,   2.49,   0.91,   4.57
194004,  -4.06,  -0.01,  -2.01,  -0.29,   0.59,   0.67,  -0.25,   0.65,   4.76,   3.85
194005, -26.23, -28.17, -25.06, -18.46, -20.95, -22.68, -22.08, -21.20, -25.40, -28.52
194006,   9.30,   7.11,   5.74,   7.97,   6.12,   7.84,   9.21,   1.73,   4.90,   6.31
194007,   1.39,   3.65,   4.49,   3.54,   2.01,   4.12,   2.23,   3.47,   2.72,   4.37
194008,   6.68,   3.70,   3.98,   1.44,   2.05,   1.88,   3.83,   0.76,   0.66,   2.22
194009,   1.96,   1.10,   4.29,   1.28,   2.58,   2.39,   2.53,   2.98,   2.97,   0.65
194010,   4.89,  14.94,   8.09,  11.11,   6.14,   1.57,   3.81,   1.30,  -0.54,   2.72
194011,  -1.47,  -4.22,   0.61,  -1.38,   1.18,  -1.54,  -4.68,  -1.86,  -0.73,  -0.79
194012,  -4.67,   0.63,   0.03,   0.77,   0.24,   0.50,   0.95,   0.99,   1.24,   1.79
194101,   0.81,  -2.18,  -1.07,  -3.24,  -4.51,  -4.82,  -6.04,  -3.99,  -3.63,  -5.26
194102,  -2.20,  -3.75,  -1.14,  -1.26,  -1.39,  -1.59,  -1.24,  -2.09,  -0.16,  -2.36
194103,  -3.25,   0.08,  -0.85,   1.78,  -0.01,   0.13,   0.91,   2.28,   2.51,  -0.70
194104, -11.69,  -8.44,  -7.17,  -3.88,  -3.88,  -7.46,  -5.29,  -5.60,  -3.29,  -4.83
194105,   1.56,  -1.12,  -1.07,   1.56,   1.31,   2.62,   0.30,   1.86,   2.46,   1.27
194106,   5.37,   6.65,   6.90,   7.14,   5.20,   4.00,   6.43,   4.76,   5.46,   4.05
194107,   9.50,   6.92,   4.42,   2.71,   3.32,   7.27,   9.69,   9.39,   9.56,   8.24
194108,  -2.07,   0.72,   0.25,  -0.58,   1.10,  -0.07,  -0.29,  -1.32,  -1.31,  -0.46
194109,   1.74,   0.28,  -0.90,  -0.82,  -0.98,  -0.19,  -2.52,  -1.83,  -3.59,  -0.57
194110, -10.88,  -7.94,  -5.59,  -6.04,  -5.90,  -7.05,  -3.96,  -2.25,  -0.44,  -0.11
194111,  -9.02,  -0.90,  -3.54,  -2.99,  -3.55,  -3.24,   0.56,   2.37,   0.06,   0.02
194112, -10.23,  -5.07,  -6.45,  -0.70,  -5.19,  -1.56,  -1.80,  -6.38,  -8.00,  -8.05
194201,  10.55,   5.83,   3.65,   4.92,  -3.09,   2.88,  -3.61,  -0.38,   2.93,   0.22
194202,  -0.66,  -0.25,  -2.94,  -0.16,  -3.06,  -3.96,  -4.12,  -2.76,  -3.48,  -2.96
194203, -11.44,  -5.32,  -5.58,  -7.82,  -6.64,  -7.77,  -5.61,  -6.01,  -7.52,  -6.22
194204,   0.74,  -4.64,  -3.99,  -3.92,  -6.57,  -3.88,  -5.31,  -6.00,  -4.94,  -2.18
194205,   9.49,  10.70,   6.30,   6.56,   4.21,   7.12,   5.33,   0.60,   3.81,   1.11
194206,   2.55,   5.02,   1.47,   3.53,   3.20,   1.97,   4.67,   1.61,   1.66,   1.51
194207,   2.88,   0.54,   3.97,   2.55,   3.20,   4.93,   5.12,   2.18,   3.91,   8.19
194208,   2.03,   1.09,   3.34,   1.58,   1.35,   1.89,   1.65,   2.02,   2.75,   1.47
194209,   5.18,   2.72,   3.27,   1.53,   2.12,   3.15,   2.66,   2.58,   2.99,   5.21
194210,  14.09,  10.93,   7.40,   6.52,   6.56,   5.64,   5.90,   6.66,   7.87,   7.37
194211,  -1.47,   0.46,   2.66,  -0.15,  -1.01,  -1.42,   0.70,  -0.92,  -1.13,  -1.55
194212,   2.88,   3.50,   2.34,   4.70,   7.76,   5.46,   7.50,   8.04,   5.51,   6.39
194301,  10.94,   7.68,   7.50,   4.82,   8.50,   7.64,   7.19,   6.15,   8.37,   8.85
194302,  15.30,   4.29,   5.53,   6.12,   6.18,   3.76,   5.89,   5.06,   8.49,   9.31
194303,   9.12,   6.74,   2.69,   6.55,   3.97,   5.84,   5.32,   9.31,   9.84,  12.54
194304,  -2.73,  -1.70,   1.24,  -0.01,   0.40,  -0.94,   0.97,   2.45,   4.37,  12.62
194305,   3.96,   5.02,   4.87,   5.80,   5.08,   6.46,   6.59,   6.53,   7.55,  15.53
194306,   2.02,   0.72,   2.96,   3.69,   1.73,   2.93,   1.47,   3.61,   0.96,  -3.59
194307,  -1.83,  -4.93,  -4.46,  -4.03,  -5.50,  -6.26,  -5.60,  -4.62,  -7.83, -13.37
194308,   0.58,   0.61,   0.88,   1.79,   3.16,   1.75,   2.68,   0.32,   2.28,  -0.70
194309,   1.00,   2.07,   2.14,   2.99,   2.87,   2.35,   2.95,   1.79,   3.39,   6.02
194310,  -0.01,  -1.05,  -0.80,  -1.30,  -1.21,  -1.57,  -2.32,  -0.36,  -1.76,  -0.23
194311,  -7.61,  -5.31,  -3.61,  -5.26,  -6.40,  -6.65,  -3.80,  -8.87, -11.08, -14.24
194312,   3.82,   6.18,   4.60,   7.21,   8.01,   6.96,   9.38,  12.17,  12.49,  15.56
194401,   0.86,   2.40,   1.15,   3.84,   1.38,   1.64,   1.95,   4.72,   1.25,   3.12
194402,   0.93,  -0.65,  -0.41,   1.87,   0.37,   1.33,   0.49,   0.24,   0.15,   0.22
194403,   0.90,   2.14,   1.83,   2.23,   1.70,   3.33,   3.76,   2.69,   6.68,   7.72
194404,  -3.90,  -1.84,  -1.65,  -2.27,  -1.45,  -1.59,  -1.03,  -1.05,  -1.80,  -2.35
194405,   3.36,   3.52,   4.03,   6.11,   3.67,   6.01,   5.87,   6.86,   6.59,   5.92
194406,  14.52,  10.77,   5.67,   5.08,   5.69,   4.18,   4.94,   5.50,   5.54,   2.51
194407,  -2.40,  -1.18,  -1.44,  -1.92,  -1.36,  -0.22,  -2.89,  -1.09,  -1.11,  -2.57
194408,  -0.43,   0.66,   0.85,   2.58,   1.11,   1.84,   2.99,   3.74,   5.95,   7.07
194409,  -0.26,   0.03,   0.75,  -0.38,   0.62,  -0.30,  -1.71,  -0.64,  -0.58,  -1.99
194410,   1.82,   0.41,   0.87,  -0.16,   0.17,  -1.13,  -1.03,  -0.75,  -1.72,  -2.77
194411,   1.76,   1.34,   1.03,   2.32,   1.44,   2.09,   2.04,   2.89,   2.42,   3.56
194412,   3.85,   1.68,   4.62,   3.46,   3.75,   6.08,   9.14,   8.74,   9.39,   9.78
194501,   3.20,   0.68,   2.86,   2.13,   2.31,   0.89,   2.78,   1.39,   3.37,   3.51
194502,   6.25,   5.17,   4.83,   5.51,   6.56,   8.07,   7.28,   9.45,   7.51,  10.95
194503,  -2.09,  -3.78,  -3.55,  -4.11,  -4.47,  -4.34,  -5.60,  -5.87,  -6.49,  -5.63
194504,   4.65,   7.21,   8.05,   7.57,   9.21,  10.72,   9.30,   8.73,  12.31,  14.90
194505,   2.49,   1.43,   2.11,   1.15,   0.54,   1.93,   1.63,   2.12,   3.18,   1.82
194506,   0.38,  -0.97,  -0.41,  -0.34,  -1.39,   0.57,   1.86,   3.03,   6.61,   7.97
194507,  -2.49,  -0.53,  -3.09,  -0.98,  -2.14,  -1.92,  -2.04,  -2.87,  -5.56,  -8.30
194508,   7.76,   5.65,   5.87,   7.43,   7.04,   7.40,   5.81,   5.19,   4.27,   2.97
194509,   6.21,   5.21,   2.42,   4.49,   4.89,   5.25,   5.77,   6.13,   8.05,   8.07
194510,   5.20,   3.17,   3.17,   4.27,   2.50,   6.35,   2.96,   3.91,   3.56,   9.20
194511,   4.51,   4.33,   1.91,   6.55,   4.22,   7.38,   7.80,  11.19,  11.91,   8.82
194512,   0.39,   1.30,   0.68,   0.36,   1.34,   1.26,   1.08,   2.55,   3.02,   5.81
194601,   4.80,   4.10,   5.24,   6.81,  11.64,   6.52,   8.76,   9.69,   5.25,  11.00
194602,  -4.37,  -5.65,  -6.03,  -5.21,  -5.72,  -5.40,  -8.09,  -6.78,  -7.61,  -6.65
194603,   8.11,   2.99,   6.56,   5.40,   6.18,   5.57,   7.83,   8.99,   7.31,   8.34
194604,   4.69,   3.95,   3.39,   2.97,   4.52,   5.00,   4.58,   6.91,   4.88,   4.78
194605,   5.00,   3.88,   2.86,   4.81,   4.36,   3.76,   4.88,   2.68,   5.43,   3.13
194606,  -4.41,  -1.52,  -1.78,  -4.09,  -5.35,  -4.63,  -5.76,  -5.28,  -6.24,  -4.37
194607,  -3.90,  -1.80,  -2.79,  -2.10,  -2.92,  -3.42,  -2.91,  -3.43,  -3.20,  -2.60
194608,  -7.81,  -6.67,  -7.10,  -5.37,  -5.27,  -5.63,  -7.00,  -7.88,  -5.86,  -6.63
194609, -14.45, -11.48,  -7.63,  -9.55,  -8.13,  -9.99,  -8.81,  -9.91, -10.59, -14.15
194610,  -2.72,  -2.94,  -1.43,  -1.71,  -1.93,  -0.14,  -0.50,  -0.40,  -1.28,  -1.59
194611,  -3.90,  -2.06,   1.63,  -1.59,   0.77,   2.33,   1.65,  -0.66,  -1.51,   0.16
194612,   3.71,   3.49,   6.22,   3.73,   5.78,   4.63,   5.12,   3.70,   4.53,   7.43
194701,   5.90,   4.49,   8.81,   4.60,   1.99,   2.02,   1.21,  -0.65,  -2.47,  -2.96
194702,   0.05,  -2.29,   0.75,  -1.65,  -0.33,  -1.68,   0.18,  -0.83,  -2.34,  -2.41
194703,  -6.95,  -4.51,  -3.40,  -2.83,  -1.22,  -1.47,  -1.68,  -0.64,  -0.30,  -0.16
194704, -11.46,  -8.94,  -8.20,  -6.81,  -4.40,  -4.36,  -3.41,  -2.70,  -5.39,  -4.38
194705,  -6.98,  -3.07,  -3.70,  -1.51,   0.52,  -0.18,  -1.13,  -0.34,  -0.76,  -0.44
